1609459456s | Voltage: 3.82 V, Current: 1513.00 mA, SOC: 11.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.83 V, Current: 1457.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.83 V, Current: 1463.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.83 V, Current: 1451.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.83 V, Current: 1456.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.83 V, Current: 1485.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.81 V, Current: 1318.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.74 V, Current: 687.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.73 V, Current: 673.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.73 V, Current: 647.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.73 V, Current: 668.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.72 V, Current: 639.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.72 V, Current: 627.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.72 V, Current: 636.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.72 V, Current: 617.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.72 V, Current: 619.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.72 V, Current: 613.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 618.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 606.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 588.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 603.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.72 V, Current: 599.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 588.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 592.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 563.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 570.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 567.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 575.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.70 V, Current: 549.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 576.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 563.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 557.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 561.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 550.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 574.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.70 V, Current: 549.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 524.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.71 V, Current: 536.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.70 V, Current: 533.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 541.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 514.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 525.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 507.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 516.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 517.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 488.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 506.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 502.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 491.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 505.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 514.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 533.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
