1609459200s | Voltage: 3.73 V, Current: 707.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.73 V, Current: 600.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.71 V, Current: 760.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.71 V, Current: 643.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.73 V, Current: 662.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.70 V, Current: 624.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.68 V, Current: 689.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.66 V, Current: 623.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.70 V, Current: 663.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.70 V, Current: 616.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.69 V, Current: 657.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.69 V, Current: 663.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.70 V, Current: 729.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.68 V, Current: 610.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.74 V, Current: 686.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.68 V, Current: 647.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.69 V, Current: 665.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.73 V, Current: 681.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.74 V, Current: 650.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
