1609459712s | Voltage: 3.78 V, Current: -709.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -709.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -715.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -713.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -709.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -709.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -710.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -715.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -715.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -710.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.78 V, Current: -710.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -710.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -715.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -715.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -711.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -710.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -711.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -715.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -716.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -711.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -711.00 mA, SOC: 92.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -711.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.77 V, Current: -716.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -716.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -712.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -711.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -712.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -715.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
