1609459584s | Voltage: 4.05 V, Current: -621.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 4.05 V, Current: -614.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.90 V, Current: -1835.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.88 V, Current: -1836.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.88 V, Current: -1839.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.88 V, Current: -1849.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.99 V, Current: -816.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 4.03 V, Current: -627.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 4.03 V, Current: -627.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.84 V, Current: -2230.00 mA, SOC: 94.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.87 V, Current: -1854.00 mA, SOC: 93.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.99 V, Current: -706.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.25 V, Current: 1170.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.26 V, Current: 1077.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.26 V, Current: 1017.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.26 V, Current: 972.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.27 V, Current: 937.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.27 V, Current: 906.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.27 V, Current: 880.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.27 V, Current: 853.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.27 V, Current: 832.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.27 V, Current: 813.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.27 V, Current: 795.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.27 V, Current: 779.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.27 V, Current: 764.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.27 V, Current: 750.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.27 V, Current: 737.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 730.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 715.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 702.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 691.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 680.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 669.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 660.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 650.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 640.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 638.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 628.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 620.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 612.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 604.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 596.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 588.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 581.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 574.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 568.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 559.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.28 V, Current: 553.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.28 V, Current: 546.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.28 V, Current: 540.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.28 V, Current: 534.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.28 V, Current: 528.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 522.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 515.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 509.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 503.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 498.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 492.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 488.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 484.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 478.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 473.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 468.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 463.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 458.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 453.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 448.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 444.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 439.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 435.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 430.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 426.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.29 V, Current: 421.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 418.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 413.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 410.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 405.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 401.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 397.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 394.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 391.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 386.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 382.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.30 V, Current: 380.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 373.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 363.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 358.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 356.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 350.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 348.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 344.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 341.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 336.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 334.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 330.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 327.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 324.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 322.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.29 V, Current: 317.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.29 V, Current: 315.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.29 V, Current: 310.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.15 V, Current: -646.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.15 V, Current: -594.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.11 V, Current: -985.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.12 V, Current: -613.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.13 V, Current: -612.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.13 V, Current: -593.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.12 V, Current: -632.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.12 V, Current: -585.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.09 V, Current: -819.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.10 V, Current: -637.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.11 V, Current: -603.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.07 V, Current: -825.00 mA, SOC: 100.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.10 V, Current: -635.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.07 V, Current: -783.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.10 V, Current: -594.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.10 V, Current: -589.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.10 V, Current: -603.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.08 V, Current: -942.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.06 V, Current: -680.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.06 V, Current: -808.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.05 V, Current: -829.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.08 V, Current: -633.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 4.05 V, Current: -822.00 mA, SOC: 99.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 4.05 V, Current: -872.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 4.07 V, Current: -632.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 4.07 V, Current: -649.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 4.07 V, Current: -684.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 4.07 V, Current: -683.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 4.07 V, Current: -682.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 4.06 V, Current: -686.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 4.06 V, Current: -687.00 mA, SOC: 98.0 %, USB_Protocol: 114, USB_Current: 5700 mA
