1609460096s | Voltage: 4.02 V, Current: 802.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.03 V, Current: 853.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 921.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 926.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 850.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 872.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.01 V, Current: 868.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.01 V, Current: 863.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 868.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 869.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 859.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.03 V, Current: 872.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.02 V, Current: 831.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 893.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 859.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.03 V, Current: 907.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 828.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
