1609459840s | Voltage: 3.49 V, Current: -1435.00 mA, SOC: 37.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.50 V, Current: -1537.00 mA, SOC: 36.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.50 V, Current: -1616.00 mA, SOC: 36.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.50 V, Current: -1523.00 mA, SOC: 36.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.49 V, Current: -1613.00 mA, SOC: 36.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.46 V, Current: -1513.00 mA, SOC: 36.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.48 V, Current: -1518.00 mA, SOC: 35.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.49 V, Current: -1479.00 mA, SOC: 35.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.50 V, Current: -1482.00 mA, SOC: 35.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.50 V, Current: -1460.00 mA, SOC: 35.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.49 V, Current: -1706.00 mA, SOC: 35.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.46 V, Current: -1478.00 mA, SOC: 35.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.50 V, Current: -1499.00 mA, SOC: 34.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.48 V, Current: -1678.00 mA, SOC: 34.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.46 V, Current: -1328.00 mA, SOC: 34.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.44 V, Current: -1543.00 mA, SOC: 34.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1505.00 mA, SOC: 34.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.48 V, Current: -1335.00 mA, SOC: 34.0 %, USB_Protocol: 114, USB_Current: 5700 mA
